directory_file_name,line_number,error_type,error_description
create-react-app\packages\react-dev-utils\launchEditor.js,20:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,21:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,125:1,error,complexity
create-react-app\packages\react-dev-utils\launchEditor.js,134:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,135:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,136:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,137:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,138:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,139:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,140:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,140:15,error,prefer-template
create-react-app\packages\react-dev-utils\launchEditor.js,141:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,142:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,143:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,143:15,error,prefer-template
create-react-app\packages\react-dev-utils\launchEditor.js,144:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,145:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,145:15,error,prefer-template
create-react-app\packages\react-dev-utils\launchEditor.js,145:34,error,prefer-template
create-react-app\packages\react-dev-utils\launchEditor.js,146:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,147:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,148:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,149:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,150:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,150:15,error,prefer-template
create-react-app\packages\react-dev-utils\launchEditor.js,151:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,152:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,153:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,153:15,error,prefer-template
create-react-app\packages\react-dev-utils\launchEditor.js,154:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,155:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,156:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,157:1,error,indent
